iter	Passed	Remaining
0	80	32266
1	105	20952
2	126	16706
3	150	14890
4	171	13552
5	200	13135
6	221	12455
7	243	11923
8	263	11449
9	286	11172
10	309	10961
11	328	10625
12	348	10381
13	374	10324
14	395	10157
15	416	9990
16	436	9835
17	458	9721
18	483	9685
19	509	9678
20	529	9559
21	549	9435
22	567	9298
23	590	9254
24	610	9154
25	630	9064
26	651	8999
27	669	8899
28	687	8789
29	708	8739
30	733	8734
31	765	8799
32	791	8805
33	821	8846
34	849	8858
35	882	8924
36	913	8959
37	940	8957
38	968	8962
39	998	8983
40	1025	8980
41	1052	8974
42	1080	8970
43	1107	8959
44	1133	8944
45	1161	8936
46	1189	8934
47	1215	8913
48	1241	8893
49	1268	8881
50	1297	8878
51	1325	8871
52	1351	8848
53	1377	8824
54	1403	8801
55	1429	8780
56	1455	8761
57	1481	8733
58	1505	8701
59	1530	8672
60	1557	8656
61	1585	8644
62	1611	8619
63	1636	8594
64	1662	8568
65	1688	8542
66	1714	8520
67	1744	8515
68	1769	8487
69	1794	8460
70	1821	8438
71	1849	8423
72	1873	8392
73	1901	8375
74	1927	8354
75	1952	8322
76	1978	8301
77	2007	8286
78	2032	8256
79	2057	8230
80	2082	8202
81	2110	8183
82	2136	8158
83	2164	8141
84	2190	8119
85	2217	8097
86	2243	8070
87	2272	8056
88	2298	8033
89	2329	8024
90	2353	7990
91	2375	7953
92	2401	7927
93	2419	7876
94	2435	7819
95	2457	7781
96	2480	7748
97	2498	7697
98	2519	7661
99	2538	7616
100	2557	7570
101	2577	7530
102	2600	7499
103	2618	7453
104	2637	7408
105	2653	7361
106	2671	7314
107	2689	7271
108	2706	7224
109	2726	7188
110	2742	7140
111	2759	7096
112	2777	7053
113	2800	7026
114	2820	6988
115	2835	6942
116	2855	6907
117	2871	6863
118	2888	6820
119	2906	6781
120	2923	6740
121	2940	6700
122	2958	6661
123	2978	6629
124	2993	6586
125	3012	6550
126	3029	6513
127	3051	6484
128	3073	6455
129	3092	6422
130	3109	6385
131	3127	6349
132	3143	6310
133	3161	6276
134	3177	6237
135	3198	6209
136	3215	6173
137	3233	6138
138	3249	6101
139	3265	6063
140	3284	6032
141	3300	5996
142	3318	5964
143	3334	5927
144	3351	5894
145	3372	5866
146	3389	5833
147	3410	5807
148	3440	5795
149	3471	5785
150	3490	5755
151	3512	5730
152	3529	5697
153	3545	5663
154	3563	5633
155	3579	5598
156	3598	5569
157	3614	5535
158	3632	5505
159	3651	5477
160	3667	5443
161	3690	5422
162	3710	5394
163	3726	5362
164	3747	5337
165	3772	5317
166	3788	5285
167	3809	5260
168	3828	5233
169	3846	5203
170	3862	5172
171	3879	5142
172	3897	5113
173	3914	5084
174	3931	5054
175	3950	5028
176	3967	4999
177	3983	4968
178	4003	4942
179	4019	4913
180	4036	4884
181	4055	4857
182	4071	4827
183	4095	4807
184	4114	4781
185	4130	4752
186	4147	4724
187	4163	4695
188	4181	4668
189	4197	4639
190	4218	4616
191	4234	4587
192	4251	4559
193	4268	4532
194	4284	4503
195	4302	4478
196	4320	4452
197	4337	4425
198	4353	4397
199	4371	4371
200	4387	4343
201	4409	4322
202	4426	4295
203	4443	4269
204	4462	4245
205	4479	4218
206	4497	4193
207	4514	4166
208	4531	4140
209	4549	4116
210	4565	4089
211	4587	4067
212	4602	4040
213	4619	4015
214	4635	3988
215	4652	3963
216	4667	3936
217	4685	3911
218	4704	3888
219	4727	3867
220	4746	3844
221	4764	3819
222	4781	3795
223	4802	3773
224	4817	3746
225	4836	3723
226	4854	3699
227	4871	3674
228	4889	3650
229	4906	3626
230	4923	3602
231	4939	3576
232	4957	3553
233	4973	3527
234	4992	3505
235	5008	3480
236	5027	3457
237	5045	3434
238	5061	3409
239	5078	3385
240	5094	3361
241	5114	3339
242	5130	3314
243	5148	3291
244	5165	3267
245	5181	3243
246	5200	3221
247	5218	3198
248	5236	3175
249	5251	3151
250	5269	3128
251	5285	3104
252	5305	3082
253	5323	3059
254	5342	3037
255	5359	3014
256	5376	2991
257	5395	2969
258	5411	2946
259	5429	2923
260	5446	2900
261	5467	2879
262	5488	2859
263	5508	2837
264	5524	2814
265	5541	2791
266	5557	2768
267	5574	2745
268	5591	2722
269	5610	2701
270	5625	2677
271	5646	2657
272	5665	2635
273	5683	2613
274	5703	2592
275	5720	2570
276	5742	2549
277	5766	2530
278	5784	2508
279	5804	2487
280	5826	2467
281	5842	2444
282	5861	2423
283	5879	2401
284	5896	2379
285	5913	2357
286	5929	2334
287	5946	2312
288	5965	2291
289	5983	2269
290	5999	2247
291	6019	2226
292	6037	2204
293	6054	2182
294	6071	2161
295	6090	2139
296	6108	2118
297	6125	2096
298	6142	2074
299	6160	2053
300	6175	2031
301	6194	2010
302	6211	1988
303	6229	1967
304	6244	1945
305	6264	1924
306	6282	1903
307	6300	1882
308	6319	1861
309	6335	1839
310	6352	1818
311	6368	1796
312	6387	1775
313	6406	1754
314	6421	1732
315	6438	1711
316	6459	1691
317	6476	1670
318	6492	1648
319	6511	1627
320	6526	1606
321	6542	1584
322	6559	1563
323	6578	1543
324	6597	1522
325	6614	1501
326	6633	1480
327	6649	1459
328	6666	1438
329	6683	1417
330	6705	1397
331	6722	1376
332	6739	1355
333	6757	1335
334	6773	1314
335	6791	1293
336	6808	1272
337	6824	1251
338	6844	1231
339	6860	1210
340	6877	1189
341	6893	1169
342	6912	1148
343	6928	1127
344	6944	1107
345	6963	1086
346	6981	1066
347	7000	1046
348	7015	1025
349	7033	1004
350	7049	984
351	7067	963
352	7083	943
353	7105	923
354	7123	902
355	7139	882
356	7155	861
357	7171	841
358	7191	821
359	7207	800
360	7224	780
361	7242	760
362	7258	739
363	7277	719
364	7295	699
365	7312	679
366	7328	658
367	7346	638
368	7362	618
369	7380	598
370	7397	578
371	7417	558
372	7433	538
373	7449	517
374	7467	497
375	7483	477
376	7502	457
377	7518	437
378	7534	417
379	7554	397
380	7570	377
381	7589	357
382	7604	337
383	7623	317
384	7638	297
385	7656	277
386	7678	257
387	7695	237
388	7711	218
389	7729	198
390	7749	178
391	7765	158
392	7787	138
393	7811	118
394	7827	99
395	7844	79
396	7861	59
397	7877	39
398	7897	19
399	7914	0
